"iid","nid","tid","parent_iid"
"259","103","408",NULL
"260","266","974",NULL
"261","233","2169",NULL
"262","745","1337",NULL
"263","2778","341",NULL
"264","69680","3381",NULL
"265","144","866",NULL
"266","1628","1272",NULL
"267","44050","410",NULL
"268","615","989",NULL
"269","1274","670",NULL
"270","849","1590",NULL
"271","768","1669",NULL
"272","505","894",NULL
"273","1176","143",NULL
"274","3215","354",NULL
"275","1671","1735",NULL
"276","71462","3542",NULL
"277","1637","2842",NULL
"278","100459","3459",NULL
"279","375","2504",NULL
"280","1104","1291",NULL
"281","1202","2101",NULL
"282","83789","3468",NULL
"283","47677","1653",NULL
"284","115982","3698",NULL
"285","45477","2962",NULL
"286","44616","1492",NULL
"287","100711","8",NULL
"288","57233","751",NULL
"289","86061","3520",NULL
"290","41295","205",NULL
"291","45911","206",NULL
"292","5235","1349",NULL
"293","287","413",NULL
"294","792","1342",NULL
"295","90599","1034",NULL
"296","807","306",NULL
"297","98","415",NULL
"298","756","1639",NULL
"299","3217","355",NULL
"300","979","1059",NULL
"301","470","945",NULL
"302","1069","3046",NULL
"303","1051","2370",NULL
"304","1052","2329",NULL
"305","372","1243",NULL
"306","804","307",NULL
"307","2784","342",NULL
"308","4603","578",NULL
"309","1595","1273",NULL
"310","992","1115",NULL
"311","100271","3293",NULL
"312","57690","2073",NULL
"313","124","1424",NULL
"314","437","922",NULL
"315","1474","596",NULL
"316","380","975",NULL
"317","5499","639",NULL
"318","1524","2422",NULL
"319","56494","1210",NULL
"320","1599","1274",NULL
"321","59886","3363",NULL
"322","1357","671",NULL
"323","1375","27",NULL
"324","95002","1195",NULL
"325","104","417",NULL
"326","91197","3536",NULL
"327","530","2299",NULL
"328","1672","1736",NULL
"329","1544","2450",NULL
"330","1335","673",NULL
"331","1191","144",NULL
"332","3216","357",NULL
"333","5197","418",NULL
"334","56906","3537",NULL
"335","1717","1304",NULL
"336","1452","1715",NULL
"337","1334","1314",NULL
"338","1012","1124",NULL
"339","100424","3622",NULL
"340","170","907",NULL
"341","41598","207",NULL
"342","1310","674",NULL
"343","405","822",NULL
"344","407","823",NULL
"345","4724","580",NULL
"346","183","419",NULL
"347","1651","1445",NULL
"348","545","2300",NULL
"349","907","1083",NULL
"350","980","2891",NULL
"351","44367","30",NULL
"352","1686","1746",NULL
"353","2368","923",NULL
"354","601","1376",NULL
"355","45909","208",NULL
"356","45913","209",NULL
"357","46281","1084",NULL
"358","4660","2739",NULL
"359","1482","2239",NULL
"360","556","2301",NULL
"361","102725","3640",NULL
"362","1087","2340",NULL
"363","43960","1332",NULL
"364","1277","675",NULL
"365","439","924",NULL
"366","70900","1066",NULL
"367","97833","3636",NULL
"368","101606","3661",NULL
"369","408","824",NULL
"370","1172","3134",NULL
"371","411","2167",NULL
"372","952","1035",NULL
"373","100610","2926",NULL
"374","41600","210",NULL
"375","940","1085",NULL
"376","5497","1488",NULL
"377","334","275",NULL
"378","706","992",NULL
"379","4773","616",NULL
"380","128","421",NULL
"381","440","926",NULL
"382","1673","1341",NULL
"383","687","3425",NULL
"384","113","962",NULL
"385","468","946",NULL
"386","48905","1724",NULL
"387","409","825",NULL
"388","550","2303",NULL
"389","231","3590",NULL
"390","748","1630",NULL
"391","771","1671",NULL
"392","698","2950",NULL
"393","44258","3111",NULL
"394","441","1425",NULL
"395","44076","1654",NULL
"396","154","867",NULL
"397","503","897",NULL
"398","97697","3741",NULL
"399","757","1640",NULL
"400","43953","425",NULL
"401","1158","147",NULL
"402","57582","1132",NULL
"403","232","424",NULL
"404","904","1086",NULL
"405","47592","1122",NULL
"406","102395","3658",NULL
"407","1163","148",NULL
"408","3156","375",NULL
"409","699","993",NULL
"410","928","3140",NULL
"411","45895","212",NULL
"412","1566","2462",NULL
"413","641","994",NULL
"414","70830","2149",NULL
"415","166","909",NULL
"416","932","1088",NULL
"417","304","1234",NULL
"418","155","427",NULL
"419","613","995",NULL
"420","88","428",NULL
"421","1674","1738",NULL
"422","3237","369",NULL
"423","4776","619",NULL
"424","5783","3714",NULL
"425","1638","3090",NULL
"426","654","879",NULL
"427","710","2710",NULL
"428","750","3506",NULL
"429","1413","22",NULL
"430","100120","3688",NULL
"431","1023","2564",NULL
"432","45890","213",NULL
"433","1525","2423",NULL
"434","100789","3057",NULL
"435","157","430",NULL
"436","243","852",NULL
"437","1203","149",NULL
"438","532","2305",NULL
"439","97534","3309",NULL
"440","4725","582",NULL
"441","410","826",NULL
"442","1726","1311",NULL
"443","45894","214",NULL
"444","5058","2928",NULL
"445","44272","3113",NULL
"446","629","996",NULL
"447","1324","678",NULL
"448","908","1090",NULL
"449","964","1047",NULL
"450","953","1036",NULL
"451","899","1091",NULL
"452","101134","976",NULL
"453","60631","3194",NULL
"454","5500","1491",NULL
"455","382","977",NULL
"456","60800","3427",NULL
"457","237","431",NULL
"458","977","1057",NULL
"459","5285","679",NULL
"460","968","1050",NULL
"461","903","1092",NULL
"462","70652","3238",NULL
"463","630","997",NULL
"464","695","998",NULL
"465","1639","2473",NULL
"466","4705","1467",NULL
"467","1079","2343",NULL
"468","47028","3004",NULL
"469","216","283",NULL
"470","1030","1967",NULL
"471","212","284",NULL
"472","88367","3477",NULL
"473","153","868",NULL
"474","97412","1726",NULL
"475","58371","3267",NULL
"476","227","432",NULL
"477","105043","3701",NULL
"478","87378","3682",NULL
"479","1297","681",NULL
"480","60359","756",NULL
"481","293","293",NULL
"482","1022","2567",NULL
"483","412","827",NULL
"484","603","1382",NULL
"485","933","1093",NULL
"486","1307","682",NULL
"487","464","947",NULL
"488","95003","1226",NULL
"489","1687","1747",NULL
"490","442","929",NULL
"491","413","828",NULL
"492","43957","435",NULL
"493","84890","1295",NULL
"494","1106","2367",NULL
"495","1675","1344",NULL
"496","1505","2438",NULL
"497","774","1673",NULL
"498","80982","3584",NULL
"499","88087","3049",NULL
"500","414","829",NULL
"501","44596","2320",NULL
"502","4636","2720",NULL
"503","859","1617",NULL
"504","655","880",NULL
"505","136","436",NULL
"506","1460","598",NULL
"507","1650","547",NULL
"508","236","437",NULL
