"id_discipline","id_dep","discipline"
"7270","4349","Вопросы изменения климата"
"3272","4087770","Воспитание и обучение детей дошкольного возраста с нарушениями зрения"
"7703","4301","Всеобщая история"
"3090","4087769","Всеобщая история музыки"
"1846","3952","Всеобщее управление качеством"
"3840","4265","Вспомогательные дисциплины (""Фотодело"")"
"8030","4301","Вспомогательные исторические дисциплины"
"3786","4265","Второй иностранный язык"
"3737","4265","Выпуск учебных СМИ"
"2893","4087774","Выразительное чтение"
"6288","4047","Высокоуровневые методы информатики и программирования"
"7628","4301","Выставочное дело"
"6289","4047","Высшая математика"
"6291","4047","Высшая математика Ч. 2. Теория вероятностей и математическая статистика"
"5164","3879","Вычислительная биофизика"
"8235","3964","Вычислительная математика"
"2048","4087763","Вычислительная техника"
"8514","3879","Вычислительная физика"
"1855","3952","Вычислительные методы в физике полупроводников"
"6292","4047","Вычислительные системы, сети и телекоммуникации"
"4291","4087768","Гандбол"
"6293","4047","Гендерная социология"
"7825","4301","Генеалогия"
"5924","4370","Генетика"
"2084","4087763","География"
"3643","4265","География и культура страны второго иностранного языка"
"7205","4349","География мирового хозяйства"
"7135","4349","География населения с основами демографии"
"7200","4349","География Поволжья"
"7113","4349","География почв с основами почвоведения"
"7723","4301","География сервиса"
"7875","4301","География туризма"
"7611","4301","География туризма России"
"7520","4301","География. Общая география"
"7146","4349","Геодезические основы карт"
"1254","4087764","Геодезия"
"1255","4087764","Геодезия с основами картографии"
"7129","4349","Геоинформатика"
"7181","4349","Геоинформационное обеспечение экологических рисков"
"7384","4329","Геоинформационные системы в геологии"
"1257","4087764","Геология"
"7305","4329","Геология и геохимия горючих ископаемых"
"7313","4329","Геология и геохимия нефти и газа"
"7449","4329","Геология России"
"8126","3964","Геометрия"
"7208","4349","Геоморфологическое картографирование"
"1259","4087764","Геоморфология"
"3731","4265","Геополитика"
"7316","4329","Геотектоника"
"7196","4349","Геоурбанистика"
"7302","4329","Геофизика"
"7150","4349","Геофизика"
"7211","4349","Геофизика ландшафта"
"7333","4329","Геохимия"
"7194","4349","Геоэкология"
"8065","4301","Геральдика"
"6220","4087765","Герменевтика"
"4282","4087768","Гигиенические основы физкультурно-спортивной деятельности"
"2158","4087763","Гидравлические и пневматические машины"
"7437","4329","Гидрогеология"
"1264","4087764","Гидрогеология нефтяных и газовых месторождений"
"5181","3879","Гидродинамика и теория упругости биологических сред"
"7133","4349","Гидрология"
"7149","4349","Гидрология суши с основами океанологии"
"6270","4087769","Гимнастика в хореографии"
"3709","4265","Гипертекстовые технологии"
"7251","4349","Гис-метео"
"6599","3920","Глобальные проблемы современности"
"7749","4301","Гостиничный сервис"
"6297","4047","Государственная молодежная политика в РФ"
"9491","3822","Государственная политика и управление"
"6300","4047","Государственное и муниципальное управление"
"7892","4301","Государственное право России и зарубежных стран"
"6795","4087778","Государственное регулирование экономики"
"7362","4329","Гравиразведка"
"7757","4301","Гражданская война в Саратовском Поволжье"
"9565","3822","Гражданское общество в процессах политического управления"
"6302","4047","Гражданское право"
"3852","4265","Греческий язык"
"3076","4087769","Грим"
"6187","4087765","Групповое психологическое консультирование"
